hostel 青旅
accommodation 住宿
venue 会场
tutorial 个别指导
statistics 统计
metallurgy 冶金
fair 公平的
dismissal 解雇
gear 齿轮
pasture 牧场
woodland 林地
species 物种
peers 同辈
professionals 专业人士
validity 有效性
accident 事故
testimony 证词
cellulose 纤维素
chandelier 吊灯
initials 缩写
tent 帐篷
bladders 膀胱
antenna 天线
layout 布局
refreshment 小吃
toads 蟾蜍
womb 子宫
habitat 栖地
dweller 居民
leaflet 传单
fuel 燃料
variables 变量
dishwasher 洗碗机
grammar 语法
interruption 中断
poverty 贫穷
textile 纺织
ash 灰
fountain 喷泉
documentation 文档
journalism 新闻
spa 水疗
hairdressers 理发师
ingredients 成分
core 核心
digestive 消化的
massage 按摩
ratio 比率
cord 线
bark 树皮
parachute 降落伞
valve 阀门
chimpanzees 黑猩猩
dominance 优势
nutshell 果壳
binoculars 双筒望远镜
Eskimo 爱斯基摩人
athletic 运动员
vibration 振动
bulb 灯泡
mud 泥浆
reservoir 水库
partner 合作者
proofreading 校对
ditch 沟
fertilizer 肥料
porcelain 瓷器
cattle 牛
plough 犁
restroom 厕所
judo 柔道
fiancée 未婚妻
reconstruction 重建
failure 失败
voicemail 语音箱
stripe 条纹
Mars 火星
squirrel 松鼠
invasion 入侵
toleration 容忍
polytechnic 理工院校
hectares 公顷
kangaroo 袋鼠
preservation 保护
cosmetics 化妆品
refrigerators 冰箱
hallway 走廊
mite 螨虫
hive 蜂巢
virus 病毒
personnel 员工
deposit 存款，押金
pot 锅
jewelry 珠宝
cabin 小屋
calendar 日历
teapot 茶壶
gloves 手套
necklace 项链
niece 侄女
footwear 鞋子
campaign 竞选
centralization 集中
slug 动作迟缓
worms 虫子
indicator 指示器
grape 葡萄
exposure 曝光
trays 托盘
apron 围裙
sun cream 防晒霜
pyramid 金字塔
commodity 商品
whales 鲸鱼
absence 缺席
workforce 劳动力
cupboard 橱柜
generation 概括
voting 投票
dialogue 对话
regulator 调节器
incubator 孵化器
rivals 对手
candle 蜡烛
congestion 拥塞
categories 类别
twilight 黄昏
qualification 资格
van 厢式货车
competitors 对手
labor 劳动
camel 骆驼
sprain 扭伤
aspirin 阿司匹林
lighting 照明
stage-set 舞美
graffiti 涂鸦
sticks 棒
bins 垃圾箱
sauna 桑拿
landscape 景观
helmet 头盔
bronze 青铜
facilities 设备
calorie 卡路里
wallet 钱包
dinosaur 恐龙
moa 恐鸟
wreckage 残骸
investigation 调查
tortoise 乌龟
Cantonese 粤语
purchase 购买
forestry 林业
literature 文学
irrigation 灌溉
nutrient 营养
erosion 侵蚀
fishery 渔业
innocence 清白
amber 琥珀
resin 树脂
fungi 真菌
advertisement 广告
allergy 过敏
alley 小道
allowance 津贴
alternation 改变
analysis 分析
analyst 分析家
ankle 脚踝
Antarctica 南极洲
ape 猿
appearance 外表
architect 建筑师
architecture 建筑
aristocrat 贵族
atlas 地图册
audience 观众
auditorium 礼堂
bachelor 学士
badminton 羽毛球
baldness 秃头
bases 基地（【区】basis）
bath （【区】bus）
beard 胡子
benefit 优势
bibliography 参考书
blast 爆炸
blouse 女式衬衫
bone （【区】born）
brochures 小册子
burger 汉堡
burglar 夜盗
cab 出租车
café 咖啡厅
cafeteria 食堂
Cambridge 剑桥
capsule 胶囊
carpet 地毯
carving 雕刻
cashier 出纳
castle 城堡
cathedral 大教堂
chair 椅子
chancellor 大学校长
checklist 核对清单
chemist's 药店
chest 胸部
chin 下巴
cliffs 悬崖
clinic 诊所
coast 海边
code （【区】cold）
coke 可乐
cola 可乐
colleague 同事
commercials 广告
commuter 通勤者
conqueror 征服者
contaminants 污染物
controversy 争议
corpse 尸体
correspondence 通信
cottage 小屋
cough 咳嗽
council 委员会
committee 委员会
creek 小溪
crocodile 鳄鱼
cutlery 餐具
deadline 截止期
description 描述
desert 沙漠
dining 吃饭
discipline 纪律
discos 迪斯科
dispute 争端
donkey 驴子
draft 草稿
eagle 鹰
encyclopedia 百科全书
epidemic 流行病
ethic 道德
excitement 兴奋
existence 存在
expansion 扩张
experiment 实验
explanation 解释
exposition 博览会
falcon 隼
fare （【音同】fair）
flooding 泛滥
flu 流感（【音同】flew）
fortnight 14天
foyer 门厅
gallery 画廊
garage 车库
garbage 垃圾
germ 细菌
gulf 海沟
handout 讲义
heroine 女主
hint 暗示
insomnia 失眠
institute 机构
institution 机构
investigator 投资人
jaw 下巴
kelp 海藻
kiosk 售货亭
koala 考拉
landmark 路标
lava 火山岩
library 图书馆
lounge 休息厅
mane 鬃毛
marsh 沼泽
mat 脚垫
mileage 里程表
mosquito 蚊子
moustache 小胡子
naught 零
occupant 占有人
oculist 眼科医生
ointment 药膏
overdraft 透支
Oxford 牛津
parcel 包裹
patient 病人
pedestrian 行人
pensioners 领养老金人
performer 执行者
perk 额外收入
petroleum 石油
philosopher 哲学家
potteries 陶器
precision 精密度
preference 偏爱
preposition 介词
president 总统
prospectus 招生简章
protein 蛋白质
psychiatrist 精神病家
psychologist 心理家
psychotherapy 心理疗法
purse 钱包
quarter 1/4的
radar 雷达
rainfall 降雨
recipe 食谱（【音】）
referee 裁判
reflectance 反射比
refuge 避难所
religion 宗教（【音】）
renewal 更新（n.）
repetition 重复
safari 野生动物园
sandal 凉鞋
satellite 卫星
scandal 丑闻
scent 气味
secretary 秘书
servant 仆人
shoplifters 扒手
slang 俚语
slip 滑动，纸片
south 南方的
sponsor 赞助者
stomach 胃
subsidy 津贴
syndicate 财团
syrup 糖浆
jargon 术语
theory 理论
toaster 烤面包机
tram 有轨电车
trailer 预告片
